Rk,Full Name,votes,%vote,yearID,ballots,needed,inducted,playerID,category,needed_note,votedBy
1,Ichiro Suzuki,393,99.7%,2025,394,296,Y,suzukic01,Player,NA,BBWAA
2,CC Sabathia,342,86.8%,2025,394,296,Y,sabatcc01,Player,NA,BBWAA
3,Billy Wagner,325,82.5%,2025,394,296,Y,wagnebi02,Player,NA,BBWAA
4,Carlos Beltran,277,70.3%,2025,394,296,N,beltrca01,Player,NA,BBWAA
5,Andruw Jones,261,66.2%,2025,394,296,N,jonesan01,Player,NA,BBWAA
6,Chase Utley,157,39.8%,2025,394,296,N,utleych01,Player,NA,BBWAA
7,Alex Rodriguez,146,37.1%,2025,394,296,N,rodrial01,Player,NA,BBWAA
8,Manny Ramirez,135,34.3%,2025,394,296,N,ramirma02,Player,NA,BBWAA
9,Andy Pettitte,110,27.9%,2025,394,296,N,pettian01,Player,NA,BBWAA
10,Felix Hernandez,81,20.6%,2025,394,296,N,hernafe02,Player,NA,BBWAA
11,Bobby Abreu,77,19.5%,2025,394,296,N,abreubo01,Player,NA,BBWAA
12,Jimmy Rollins,71,18.0%,2025,394,296,N,rolliji01,Player,NA,BBWAA
13,Omar Vizquel,70,17.8%,2025,394,296,N,vizquom01,Player,NA,BBWAA
14,Dustin Pedroia,47,11.9%,2025,394,296,N,pedrodu01,Player,NA,BBWAA
15,Mark Buehrle,45,11.4%,2025,394,296,N,buehrma01,Player,NA,BBWAA
16,Francisco Rodriguez,40,10.2%,2025,394,296,N,rodrifr03,Player,NA,BBWAA
17,David Wright,32,8.1%,2025,394,296,N,wrighda03,Player,NA,BBWAA
18,Torii Hunter,20,5.1%,2025,394,296,N,hunteto01,Player,NA,BBWAA
19,Ian Kinsler,10,2.5%,2025,394,296,N,kinslia01,Player,NA,BBWAA
20,Russell Martin,9,2.3%,2025,394,296,N,martiru01,Player,NA,BBWAA
21,Brian McCann,7,1.8%,2025,394,296,N,mccanbr01,Player,NA,BBWAA
22,Troy Tulowitzki,4,1.0%,2025,394,296,N,tulowtr01,Player,NA,BBWAA
23,Adam Jones,3,0.8%,2025,394,296,N,jonesad01,Player,NA,BBWAA
24,Curtis Granderson,3,0.8%,2025,394,296,N,grandcu01,Player,NA,BBWAA
25,Carlos Gonzalez,2,0.5%,2025,394,296,N,gonzaca01,Player,NA,BBWAA
26,Ben Zobrist,0,0.0%,2025,394,296,N,zobribe01,Player,NA,BBWAA
27,Fernando Rodney,0,0.0%,2025,394,296,N,rodnefe01,Player,NA,BBWAA
28,Hanley Ramirez,0,0.0%,2025,394,296,N,ramirha01,Player,NA,BBWAA
